1,1961236274,238612728
2,
3,
4,
5,
6,
7,
8,
9,
10,820574053,216645970
11,
12,851473721,224205730
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,858121214,225129870
37,
38,
39,
40,
41,843856203,225661152
42,
43,
44,873773552,302138400
45,
46,
47,844351098,225048644
48,
49,
50,
51,873183883,224756149
52,
53,
54,
55,826444562,225057375
56,
57,843989530,224788555
58,
59,
60,842419149,224368460
61,
62,
63,856527925,224761108
64,835074919,224580219
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,857788281,210571944
85,
86,857898421,224672689
87,
88,
89,
90,
91,
92,858175620,226035920
93,833422404,224908683
94,
95,
96,842372913,224601731
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,874488937,224573374
108,
109,
110,890026106,224728911
111,
112,
113,
114,
115,826677064,224643355
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,844332241,224778498
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,873226555,224968676
140,
141,
142,858140141,228298289
143,864524891,209184407
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,842673371,224661724
159,
160,
161,
162,826760873,224307140
163,
164,
165,858424185,224492848
166,
167,
168,
169,
170,
171,
172,
173,844212882,209078878
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,830874245,223198269
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
